Data,IVVB11,GOLD11,USD,IBOV,IBRA,IBXX,IGPM,IMAB5,IMA-B,IRF-M,IPCA,GOLD,SP500US,SELIC,IMA-S,SP500BR
Dec-1999,,,1.789,17091,,3238,178.099,,,,7.5829210281,16.8,1469.26,509.407776,,2628.50614
Jan-2000,,,1.8024,16388,,3117,180.301,,,,7.6299352646,16.6,1394.46,516.8233913,,2513.3747040000003
Feb-2000,,,1.7685,17660,,3280,180.935,,,876.7265,7.6398539543,16.83,1366.42,524.321954,,2416.51377
Mar-2000,,,1.7473,17820,,3349,181.214,,,893.7862,7.6566619873,15.95,1498.58,531.9207548,,2618.468834
Apr-2000,,,1.8067,15537,,2959,181.635,,,899.7219,7.6888198853,16.8,1452.43,538.8126212,,2624.105281
May-2000,,,1.8266,14956,,2894,182.189,,,912.7307,7.6895885468,16.95,1420.6,546.8617458,,2594.86796
Jun-2000,,,1.8,16727,,3282,183.745,,,933.8281,7.7072749138,17.6,1454.6,554.4726816,,2618.2799999999997
Jul-2000,,,1.7748,16454,,3226,186.634,,,949.4683,7.8313617706,17.32,1430.83,561.7140925,,2539.4370839999997
Aug-2000,,,1.8234,17346,,3442,191.087,,,965.1018,7.9339528084,17.5,1517.68,569.6086311,,2767.337712
Sep-2000,,,1.8437,15928,,3249,193.297,,,977.5661,7.9522008896,17.5,1436.51,576.5784869,,2648.4934869999997
Oct-2000,,,1.909,14867,,3080,194.04,,,988.6078,7.9633340836,17.35,1429.4,584.0035579,,2728.7246
Nov-2000,,,1.9596,13287,,2828,194.599,,,999.0746,7.9888167381,17.78,1314.95,591.1278007,,2576.7760200000002
Dec-2000,,,1.9554,15259,,3211,195.827,,,1018.16,8.0359506607,17.8,1320.28,598.2105014,,2581.675512
Jan-2001,,,1.9711,17672,,3683,197.045,,,1035.831,8.0817556381,17.4,1366.01,605.7782758,,2692.542311
Feb-2001,,,2.0452,15891,,3410,197.491,,,1042.657,8.1189317703,17.85,1239.94,611.9319842,,2535.925288
Mar-2001,,,2.1616,14438,,3197,198.606,,,1041.615,8.1497831345,18.1,1160.33,619.629201,,2508.169328
Apr-2001,,,2.1847,14917,,3358,200.591,,,1050.329,8.197052002,18.81,1249.46,626.9803168,,2729.6952619999997
May-2001,,,2.36,14649,,3418,202.324,,,1065.377,8.2306604385,21.1,1255.82,635.3616017,,2963.7351999999996
Jun-2001,,,2.3049,14559,,3368,204.31,,,1077.435,8.2734594345,21,1224.42,643.4517598,,2822.165658
Jul-2001,,,2.4313,13754,,3260,207.341,,,1091.211,8.3834962845,21,1211.23,653.0905531,,2944.8634989999996
Aug-2001,,,2.5517,12840,,3113,210.211,,,1119.258,8.4421815872,21.85,1133.58,663.54001,,2892.5560859999996
Sep-2001,,,2.6713,10635,,2665,210.853,,,1134.812,8.4658193588,24.8,1040.94,672.3273416,,2780.663022
Oct-2001,,,2.7071,11364,,2830,213.339,,,1158.503,8.5360851288,23.7,1059.78,682.6471462,,2868.930438
Nov-2001,,,2.5287,12931,,3030,215.685,,,1178.987,8.5966920853,22,1139.45,692.1594126,,2881.3272150000003
Dec-2001,,,2.3204,13577,,3182,216.163,,,1201.331,8.6525697708,21.5,1148.08,701.8049419,557.75373481,2664.0048319999996
Jan-2002,,,2.4183,12721,,3089,216.944,,,1219.987,8.6975631714,22.7,1130.2,712.5703448,566.44157096,2733.16266
Feb-2002,,,2.3482,14033,,3440,217.074,,,1239.727,8.7288751602,22.75,1106.73,721.4647577,572.44181093,2598.823386
Mar-2002,,,2.3236,13254,,3404,217.276,,,1257.98,8.7812480927,22.91,1147.39,731.3584405,580.22545356,2666.075404
Apr-2002,,,2.3625,13085,,3430,218.486,,,1273.19,8.8514976501,23.7,1076.87,742.2086344,584.9084876,2544.1053749999996
May-2002,,,2.522,12861,,3404,220.292,,,1292.919,8.8700866699,26.6,1067.13,752.7108077,582.46872538,2691.30186
Jun-2002,,,2.8444,11139,,3134,223.688,,,1293.804,8.9073410034,29,989.82,762.7145813,588.71011791,2815.444008
Jul-2002,,,3.4285,9762,,2819,228.057,,,1310.001,9.013338089,34.9,911.62,774.4255645,592.86320387,3125.4891700000003
Aug-2002,,,3.0223,10382,,2935,233.348,,,1350.058,9.0719242096,31,916.07,785.6036545,600.13076854,2768.6383610000003
Sep-2002,,,3.8949,8622,,2640,238.943,,,1363.969,9.1372423172,37.5,815.29,796.4549336,609.60332805,3175.473021
Oct-2002,,,3.645,10167,,3124,248.199,,,1387.824,9.256939888,35.2,885.76,809.5639861,620.69625866,3228.5952
Nov-2002,,,3.6365,10508,,3167,261.08,,,1412.186,9.5364999771,36.9,936.31,822.0388067,634.35266185,3404.891315
Dec-2002,,,3.5333,11268,,3364,270.867,,,1442.197,9.7367668152,38.9,879.82,836.3624102,647.39276138,3108.6680060000003
Jan-2003,,,3.5258,10941,,3250,277.173,,,1474.307,9.9558439255,40.7,855.7,852.8493419,664.05362342,3017.02706
Feb-2003,,,3.5632,10280,,3152,283.506,,,1502.058,10.112150192,39.5,841.15,868.4597245,677.53191388,2997.18568
Mar-2003,,,3.3531,11273,,3368,287.855,,,1530.873,10.236530304,35.7,848.18,883.8924159,691.40859674,2844.032358
Apr-2003,,,2.8898,12556,,3554,290.512,,,1574.475,10.335824012,31.6,916.92,900.4353018,706.46528038,2649.715416
May-2003,,,2.9656,13421,,3745,289.747,,,1600.675,10.398872375,35,963.59,918.1320294,723.17640133,2857.622504
Jun-2003,,,2.872,12972,,3648,286.843,,,1637.357,10.383274078,32.4,974.5,935.1787983,739.0230041,2798.7639999999997
Jul-2003,,,2.9655,13571,,3938,285.649,,,1674.12,10.40404129,33.551,990.31,954.6702389,756.014257,2936.7643049999997
Aug-2003,,,2.9665,15174,,4361,286.735,,,1718.889,10.439414978,35.7,1008.01,971.6085817,769.82036153,2990.261665
Sep-2003,,,2.9234,16010,,4409,290.127,785.31971189,732.1347792,1754.319,10.52083,35.85,995.97,987.9268355,783.95238497,2911.618698
Oct-2003,,,2.8562,17982,,4774,291.229,801.08254652,749.92119437,1786.1433428,10.55134,35.59,1050.71,1004.1491862,798.09175697,3001.037902
Nov-2003,,,2.9494,20183,,5218,292.657,817.40510351,780.71350614,1824.2488213,10.58721,37.5,1058.2,1017.6402457,812.47474395,3121.05508
Dec-2003,,,2.8892,22236,,6004,294.455,836.36404384,811.97006745,1850.0756928,10.64226349,38.6,1111.92,1031.6149952,824.52363001,3212.5592640000004
Jan-2004,,,2.9409,21851,,5875,297.039,860.04516467,859.64082368,1871.1267753,10.7231447,37.9,1131.11,1044.6912451,836.37456898,3326.481399
Feb-2004,,,2.9138,21755,,6041,299.097,870.41553182,872.12484608,1890.9835151,10.78855588,37,1144.94,1056.0198163,845.25934436,3336.126172
Mar-2004,,,2.9086,22142,,6077,302.484,881.70536815,884.87376837,1920.7615749,10.83926211,39.3,1126.21,1070.583633,856.5161186,3275.694406
Apr-2004,,,2.9447,19607,,5283,306.151,889.93705029,893.73477356,1935.6441444,10.87936737,36.4,1107.3,1083.2363269,863.86358732,3260.66631
May-2004,,,3.1291,19544,,5480,310.152,896.0930294,890.41586751,1935.2818636,10.93485217,39.65,1120.68,1096.5363539,874.36679673,3506.7197880000003
Jun-2004,,,3.1075,21148,,5791,314.419,911.85673099,902.66624537,1976.2684616,11.01248965,38.5,1140.83,1110.0225322,886.04220526,3545.1292249999997
Jul-2004,,,3.0268,22336,,6104,318.532,926.4586533,917.86072679,1998.2677555,11.11270326,38,1101.72,1124.3072944,897.37392474,3334.6860960000004
Aug-2004,,,2.9338,22803,,6347,322.412,936.8380634,926.4479044,2025.8350718,11.18938095,38.4,1104.24,1138.8511744,908.97756032,3239.6193120000003
Sep-2004,,,2.8586,23245,,6719,324.651,949.27058053,938.51740318,2055.6227858,11.22630596,38.5,1114.58,1153.1019276,919.86298735,3186.138388
Oct-2004,,,2.8565,23052,,6861,325.925,958.27782556,947.44502978,2077.4758758,11.27570175,39.1,1130.2,1167.0916355,931.53759883,3228.4163000000003
Nov-2004,,,2.7307,25128,,7240,328.588,969.14926601,958.69877894,2104.4164243,11.35350414,39.12,1173.82,1181.691784,943.36546829,3205.350274
Dec-2004,,,2.6544,26196,,7796,331.005,983.33734661,973.14721851,2135.6702667,11.451144235,37.5,1211.92,1199.2141834,958.30199408,3216.920448
Jan-2005,,,2.6248,24350,,7488,332.298,995.94675539,984.90408844,2158.1791836,11.51756084,35.6,1181.27,1215.8098961,972.16200704,3100.597496
Feb-2005,,,2.595,28139,,8606,333.288,989.86643227,990.2956477,2187.492361,11.58551441,36.5,1203.59,1230.6207193,984.41207098,3123.31605
Mar-2005,,,2.6662,26610,,8117,336.123,1000,1000,2215.4732111,11.65618604,36.9,1180.58,1249.4267953,1000,3147.6623959999997
Apr-2005,,,2.5313,24843,,7493,339.03,1013.3161495,1013.6358145,2247.0056238,11.75759482,35.3,1156.84,1267.062817,1014.3377395,2928.3090919999995
May-2005,,,2.4038,25207,,7612,338.299,1026.7980619,1028.3501107,2283.7175165,11.81520701,32.6,1191.5,1286.107595,1029.7690309,2864.1277
Jun-2005,,,2.3504,25051,,7765,336.801,1029.6836665,1033.6535431,2323.7692947,11.81284396,33.1,1191.33,1306.5001525,1046.4419835,2800.102032
